Province,Temple
PrachinBuri,วัดบางกระเบา
PrachinBuri,วัดแก้วพิจิตร
PrachinBuri,วัดคชรัตน์
PrachinBuri,วัดคลองกลาง
PrachinBuri,วัดโคกป่าแพง
PrachinBuri,วัดท่าพาณิชย์
PrachinBuri,วัดทุ่งแฝก
PrachinBuri,วัดนางเลง
PrachinBuri,วัดปากแพรก
PrachinBuri,วัดพระยาทำ
PrachinBuri,วัดศรีกบินทร์
PrachinBuri,วัดสระดู่
PrachinBuri,วัดโสมสุทธาวาส
PrachinBuri,วัดคลองตามั่น
PrachinBuri,วัดบรรพตรัตนาราม
PrachinBuri,วัดชามีพุทโธวาท
PrachinBuri,วัดตันทาราม
PrachinBuri,วัดนูประสาทวราวาส
PrachinBuri,วัดโนนสะอาด
PrachinBuri,วัดบ้านโคกสว่าง
PrachinBuri,วัดมุ่งประสิทธิ์
PrachinBuri,วัดศรีสุวรรณาราม
PrachinBuri,วัดสระขุด
PrachinBuri,วัดหนองบัว
PrachinBuri,วัดเจริญราษฎร์รังสรรค์
PrachinBuri,วัดท่าอุดมสมบูรณาราม
PrachinBuri,วัดเนาวรัตนาราม
PrachinBuri,วัดบรรพตเขมาราม
PrachinBuri,วัดศรีสวัสดิ์
PrachinBuri,วัดสำโรงวนาราม
PrachinBuri,วัดกรุงราษฎร์บำรุง
PrachinBuri,วัดบ่อทองรังสรรค์
PrachinBuri,วัดหนองไผ่ล้อม
PrachinBuri,วัดเหลืองทองรังษี
PrachinBuri,วัดนาคำ
PrachinBuri,วัดวัฒนารังษี
PrachinBuri,วัดสมศรีราษฎร์
PrachinBuri,วัดหนองโดน
PrachinBuri,วัดหนองนาใน
PrachinBuri,วัดหนองสังข์
PrachinBuri,วัดกลางเมืองเก่า
PrachinBuri,วัดแก้วฟ้ารังษี
PrachinBuri,วัดท่าข่อย
PrachinBuri,วัดนครกบินทร์
PrachinBuri,วัดมหาไชย
PrachinBuri,วัดราษฎร์รังษี
PrachinBuri,วัดเวฬุวนาราม
PrachinBuri,วัดศรีบุญเรือง
PrachinBuri,วัดศีรษะเมือง
